company name,sector,year,s1,s2,s3,revenue__mil_$,production_volume_mil_units
"American Airlines Group, Inc.",Industrial,2016,39000,27000,6000,5655,236495
"American Airlines Group, Inc.",Industrial,2017,38610,26190,5820,5681,225248
"American Airlines Group, Inc.",Industrial,2018,37837.8,23571,5354.4,5693,362597
"American Airlines Group, Inc.",Industrial,2019,37081.044,23335.29,5300.856,5755,338516
"American Airlines Group, Inc.",Industrial,2021,34485.37092,21001.761,5247.84744,5763,222449
"American Airlines Group, Inc.",Industrial,2022,31381.68754,19321.62012,4932.976594,5763,817729
PG&E Corporation,Utilities,2016,116000,73000,17000,5765,173889
PG&E Corporation,Utilities,2017,107880,70080,16150,5775,59672
PG&E Corporation,Utilities,2018,104643.6,65875.2,15019.5,5810,551669
PG&E Corporation,Utilities,2019,101504.292,63240.192,14719.11,5829,39172
PG&E Corporation,Utilities,2021,95414.03448,59445.78048,13247.199,5870,275909
PG&E Corporation,Utilities,2022,85872.63103,57067.94926,12717.31104,5898,258537
Duke Energy,Utilities,2016,154000,132000,17000,5910,155774
Duke Energy,Utilities,2017,150920,124080,15640,5991,45400
Duke Energy,Utilities,2018,147901.6,121598.4,14388.8,6016,237428
Duke Energy,Utilities,2019,143464.552,114302.496,14101.024,6027,40963
Duke Energy,Utilities,2021,142029.9065,108587.3712,12972.94208,6040,2687379
Duke Energy,Utilities,2022,132087.813,99900.3815,12064.83613,6053,228037
Exelon Corporation,Utilities,2016,198000,94000,18000,6074,67598
Exelon Corporation,Utilities,2017,184140,92120,16740,6110,291727
Exelon Corporation,Utilities,2018,180457.2,89356.4,16405.2,6117,286556
Exelon Corporation,Utilities,2019,169629.768,84888.58,15092.784,6146,98556
Exelon Corporation,Utilities,2021,162844.5773,81493.0368,14790.92832,6146,45256
Exelon Corporation,Utilities,2022,151445.4569,75788.52422,13903.47262,6160,3503319
Dominion Energy,Utilities,2016,224000,113000,17000,6202,2434079
Dominion Energy,Utilities,2017,201600,106220,16490,6209,51236
Dominion Energy,Utilities,2018,181440,100909,15170.8,6214,58720
