company_name,sector,year,s1,s2,s3,revenue__mil_$,production_volume_mil_units,type,services_provided,headquarters_location,net_zero_pledge_year,yearly_sum
"American Airlines Group, Inc.",Industrial,2016,39000.0,27000.0,6000.0,5655,236495,Transportation,Airline Services,"Fort Worth, TX, USA",2040,72000.0
"American Airlines Group, Inc.",Industrial,2017,38610.0,26190.0,5820.0,5681,225248,Transportation,Airline Services,"Fort Worth, TX, USA",2040,70620.0
"American Airlines Group, Inc.",Industrial,2018,37837.8,23571.0,5354.4,5693,362597,Transportation,Airline Services,"Fort Worth, TX, USA",2040,66763.2
"American Airlines Group, Inc.",Industrial,2019,37081.044,23335.29,5300.856,5755,338516,Transportation,Airline Services,"Fort Worth, TX, USA",2040,65717.19
"American Airlines Group, Inc.",Industrial,2021,34485.37092,21001.761,5247.84744,5763,222449,Transportation,Airline Services,"Fort Worth, TX, USA",2040,60734.97936
"American Airlines Group, Inc.",Industrial,2022,31381.68754,19321.62012,4932.976594,5763,817729,Transportation,Airline Services,"Fort Worth, TX, USA",2040,55636.284254
PG&E Corporation,Utilities,2016,116000.0,73000.0,17000.0,5765,173889,Electric/Gas,"Electricity, Gas","San Francisco, CA, USA",2050,206000.0
PG&E Corporation,Utilities,2017,107880.0,70080.0,16150.0,5775,59672,Electric/Gas,"Electricity, Gas","San Francisco, CA, USA",2050,194110.0
PG&E Corporation,Utilities,2018,104643.6,65875.2,15019.5,5810,551669,Electric/Gas,"Electricity, Gas","San Francisco, CA, USA",2050,185538.3
PG&E Corporation,Utilities,2019,101504.292,63240.192,14719.11,5829,39172,Electric/Gas,"Electricity, Gas","San Francisco, CA, USA",2050,179463.59399999998
PG&E Corporation,Utilities,2021,95414.03448,59445.78048,13247.199,5870,275909,Electric/Gas,"Electricity, Gas","San Francisco, CA, USA",2050,168107.01395999998
PG&E Corporation,Utilities,2022,85872.63103,57067.94926,12717.31104,5898,258537,Electric/Gas,"Electricity, Gas","San Francisco, CA, USA",2050,155657.89133
Duke Energy,Utilities,2016,154000.0,132000.0,17000.0,5910,155774,Electric/Gas,"Electricity, Gas","Charlotte, NC, USA",2050,303000.0
Duke Energy,Utilities,2017,150920.0,124080.0,15640.0,5991,45400,Electric/Gas,"Electricity, Gas","Charlotte, NC, USA",2050,290640.0
Duke Energy,Utilities,2018,147901.6,121598.4,14388.8,6016,237428,Electric/Gas,"Electricity, Gas","Charlotte, NC, USA",2050,283888.8
Duke Energy,Utilities,2019,143464.552,114302.496,14101.024,6027,40963,Electric/Gas,"Electricity, Gas","Charlotte, NC, USA",2050,271868.072
Duke Energy,Utilities,2021,142029.9065,108587.3712,12972.94208,6040,2687379,Electric/Gas,"Electricity, Gas","Charlotte, NC, USA",2050,263590.21978
Duke Energy,Utilities,2022,132087.813,99900.3815,12064.83613,6053,228037,Electric/Gas,"Electricity, Gas","Charlotte, NC, USA",2050,244053.03063
Exelon Corporation,Utilities,2016,198000.0,94000.0,18000.0,6074,67598,Electric/Gas,"Electricity, Gas","Chicago, IL, USA",2050,310000.0
Exelon Corporation,Utilities,2017,184140.0,92120.0,16740.0,6110,291727,Electric/Gas,"Electricity, Gas","Chicago, IL, USA",2050,293000.0
Exelon Corporation,Utilities,2018,180457.2,89356.4,16405.2,6117,286556,Electric/Gas,"Electricity, Gas","Chicago, IL, USA",2050,286218.8
Exelon Corporation,Utilities,2019,169629.768,84888.58,15092.784,6146,98556,Electric/Gas,"Electricity, Gas","Chicago, IL, USA",2050,269611.132
Exelon Corporation,Utilities,2021,162844.5773,81493.0368,14790.92832,6146,45256,Electric/Gas,"Electricity, Gas","Chicago, IL, USA",2050,259128.54242
Exelon Corporation,Utilities,2022,151445.4569,75788.52422,13903.47262,6160,3503319,Electric/Gas,"Electricity, Gas","Chicago, IL, USA",2050,241137.45374000003
Dominion Energy,Utilities,2016,224000.0,113000.0,17000.0,6202,2434079,Electric/Gas,"Electricity, Gas","Richmond, VA, USA",2040,354000.0
Dominion Energy,Utilities,2017,201600.0,106220.0,16490.0,6209,51236,Electric/Gas,"Electricity, Gas","Richmond, VA, USA",2040,324310.0
Dominion Energy,Utilities,2018,181440.0,100909.0,15170.8,6214,58720,Electric/Gas,"Electricity, Gas","Richmond, VA, USA",2040,297519.8
Dominion Energy,Utilities,2019,177811.2,98890.82,13805.428,6243,263414,Electric/Gas,"Electricity, Gas","Richmond, VA, USA",2040,290507.44800000003
Dominion Energy,Utilities,2021,163586.304,94935.1872,12977.10232,6260,77453,Electric/Gas,"Electricity, Gas","Richmond, VA, USA",2040,271498.59352
Dominion Energy,Utilities,2022,161950.441,88289.7241,12847.3313,6276,1927555,Electric/Gas,"Electricity, Gas","Richmond, VA, USA",2040,263087.4964
National Grid,Utilities,2016,219000.0,75000.0,18000.0,6297,1951158,Electric/Gas,"Electricity, Gas","London, UK",2040,312000.0
National Grid,Utilities,2017,197100.0,74250.0,17100.0,6313,53864,Electric/Gas,"Electricity, Gas","London, UK",2040,288450.0
National Grid,Utilities,2018,193158.0,67567.5,15390.0,6343,266048,Electric/Gas,"Electricity, Gas","London, UK",2040,276115.5
National Grid,Utilities,2019,191226.42,62837.775,15082.2,6359,118861,Electric/Gas,"Electricity, Gas","London, UK",2040,269146.395
National Grid,Utilities,2021,175928.3064,57810.753,14177.268,6379,157728,Electric/Gas,"Electricity, Gas","London, UK",2040,247916.3274
National Grid,Utilities,2022,172409.7403,54920.21535,13326.63192,6411,294823,Electric/Gas,"Electricity, Gas","London, UK",2040,240656.58757000003
NextEra Energy,Utilities,2016,181000.0,54000.0,17000.0,6466,42779,Electric,Electricity,"Juno Beach, FL, USA",2030,252000.0
NextEra Energy,Utilities,2017,173760.0,51840.0,16150.0,6489,152186,Electric,Electricity,"Juno Beach, FL, USA",2030,241750.0
NextEra Energy,Utilities,2018,159859.2,49766.4,15019.5,6499,139716,Electric,Electricity,"Juno Beach, FL, USA",2030,224645.1
NextEra Energy,Utilities,2019,153464.832,44789.76,13817.94,6510,133625,Electric,Electricity,"Juno Beach, FL, USA",2030,212072.532
NextEra Energy,Utilities,2021,144256.9421,44341.8624,12988.8636,6531,2203623,Electric,Electricity,"Juno Beach, FL, USA",2030,201587.66809999998
NextEra Energy,Utilities,2022,141371.8032,42124.76928,12339.42042,6547,40994,Electric,Electricity,"Juno Beach, FL, USA",2030,195835.9929
Southern Company,Utilities,2016,128000.0,117000.0,18000.0,6554,57857,Electric/Gas,"Electricity, Gas","Atlanta, GA, USA",2040,263000.0
Southern Company,Utilities,2017,120320.0,108810.0,16560.0,6554,39471,Electric/Gas,"Electricity, Gas","Atlanta, GA, USA",2040,245690.0
Southern Company,Utilities,2018,117913.6,102281.4,15732.0,6581,136524,Electric/Gas,"Electricity, Gas","Atlanta, GA, USA",2040,235927.0
Southern Company,Utilities,2019,113197.056,92053.26,14788.08,6601,133376,Electric/Gas,"Electricity, Gas","Atlanta, GA, USA",2040,220038.39599999998
Southern Company,Utilities,2021,110933.1149,88371.1296,13752.9144,6611,54403,Electric/Gas,"Electricity, Gas","Atlanta, GA, USA",2040,213057.1589
Southern Company,Utilities,2022,107605.1214,84836.28442,12515.1521,6691,740463,Electric/Gas,"Electricity, Gas","Atlanta, GA, USA",2040,204956.55792
American Water,Utilities,2016,250000.0,90000.0,17000.0,6695,193984,Water,Water and Wastewater,"Camden, NJ, USA",2040,357000.0
American Water,Utilities,2017,230000.0,81900.0,16830.0,6699,115095,Water,Water and Wastewater,"Camden, NJ, USA",2040,328730.0
American Water,Utilities,2018,216200.0,78624.0,15651.9,6704,78547,Water,Water and Wastewater,"Camden, NJ, USA",2040,310475.9
American Water,Utilities,2019,198904.0,71547.84,15025.824,6726,29074,Water,Water and Wastewater,"Camden, NJ, USA",2040,285477.664
American Water,Utilities,2021,179013.6,70832.3616,14124.27456,6731,896552,Water,Water and Wastewater,"Camden, NJ, USA",2040,263970.23616000003
American Water,Utilities,2022,171853.056,67999.06714,13276.81809,6743,43997,Water,Water and Wastewater,"Camden, NJ, USA",2040,253128.94123
Sempra Energy,Utilities,2016,120000.0,113000.0,17000.0,6755,20777,Electric/Gas,"Electricity, Gas","San Diego, CA, USA",2030,250000.0
Sempra Energy,Utilities,2017,112800.0,102830.0,15300.0,6784,17967,Electric/Gas,"Electricity, Gas","San Diego, CA, USA",2030,230930.0
Sempra Energy,Utilities,2018,111672.0,96660.2,14841.0,6840,47528,Electric/Gas,"Electricity, Gas","San Diego, CA, USA",2030,223173.2
Sempra Energy,Utilities,2019,104971.68,92793.792,13950.54,6845,33467,Electric/Gas,"Electricity, Gas","San Diego, CA, USA",2030,211716.01200000002
Sempra Energy,Utilities,2021,99723.096,88154.1024,13392.5184,6863,98880,Electric/Gas,"Electricity, Gas","San Diego, CA, USA",2030,201269.7168
Sempra Energy,Utilities,2022,94736.9412,84627.9383,12856.81766,6892,992968,Electric/Gas,"Electricity, Gas","San Diego, CA, USA",2030,192221.69715999998
E.ON SE,Utilities,2016,228000.0,102000.0,18000.0,6895,895429,Electric/Gas,"Electricity, Gas","Essen, Germany",2030,348000.0
E.ON SE,Utilities,2017,216600.0,95880.0,16740.0,6915,78453,Electric/Gas,"Electricity, Gas","Essen, Germany",2030,329220.0
E.ON SE,Utilities,2018,201438.0,93962.4,15233.4,6941,97793,Electric/Gas,"Electricity, Gas","Essen, Germany",2030,310633.80000000005
E.ON SE,Utilities,2019,193380.48,85505.784,14928.732,6964,167489,Electric/Gas,"Electricity, Gas","Essen, Germany",2030,293814.99600000004
E.ON SE,Utilities,2021,189512.8704,83795.66832,14779.44468,6967,45058,Electric/Gas,"Electricity, Gas","Essen, Germany",2030,288087.9834
E.ON SE,Utilities,2022,174351.8408,82957.71164,13301.50021,7070,525064,Electric/Gas,"Electricity, Gas","Essen, Germany",2030,270611.05265
Veolia Environnement,Utilities,2016,198000.0,102000.0,17000.0,7105,198321,Water/Energy,"Water, Energy, Waste Mgmt","Paris, France",2040,317000.0
Veolia Environnement,Utilities,2017,178200.0,93840.0,16320.0,7136,64532,Water/Energy,"Water, Energy, Waste Mgmt","Paris, France",2040,288360.0
Veolia Environnement,Utilities,2018,167508.0,92901.6,15340.8,7159,84397,Water/Energy,"Water, Energy, Waste Mgmt","Paris, France",2040,275750.4
Veolia Environnement,Utilities,2019,165832.92,90114.552,14727.168,7160,59995,Water/Energy,"Water, Energy, Waste Mgmt","Paris, France",2040,270674.64
Veolia Environnement,Utilities,2021,159199.6032,88312.26096,13548.99456,7183,148188,Water/Energy,"Water, Energy, Waste Mgmt","Paris, France",2040,261060.85872
Veolia Environnement,Utilities,2022,156015.6111,81247.28008,12194.0951,7195,119950,Water/Energy,"Water, Energy, Waste Mgmt","Paris, France",2040,249456.98628
Centrica,Utilities,2016,128000.0,86000.0,17000.0,7210,330806,Electric/Gas,"Electricity, Gas","Windsor, UK",2030,231000.0
Centrica,Utilities,2017,119040.0,78260.0,16660.0,7214,239540,Electric/Gas,"Electricity, Gas","Windsor, UK",2030,213960.0
Centrica,Utilities,2018,117849.6,74347.0,16160.2,7224,15591,Electric/Gas,"Electricity, Gas","Windsor, UK",2030,208356.80000000002
Centrica,Utilities,2019,107243.136,66912.3,15513.792,7280,52611,Electric/Gas,"Electricity, Gas","Windsor, UK",2030,189669.22799999997
Centrica,Utilities,2021,97591.25376,64904.931,14117.55072,7286,133644,Electric/Gas,"Electricity, Gas","Windsor, UK",2030,176613.73548
Centrica,Utilities,2022,92711.69107,58414.4379,13552.84869,7320,60524,Electric/Gas,"Electricity, Gas","Windsor, UK",2030,164678.97766
Eversource Energy,Utilities,2016,194000.0,46000.0,18000.0,7326,33097,Electric/Gas,"Electricity, Gas","Boston, MA, USA",2040,258000.0
Eversource Energy,Utilities,2017,176540.0,42780.0,16380.0,7329,24145,Electric/Gas,"Electricity, Gas","Boston, MA, USA",2040,235700.0
Eversource Energy,Utilities,2018,173009.2,41496.6,14905.8,7338,615042,Electric/Gas,"Electricity, Gas","Boston, MA, USA",2040,229411.6
Eversource Energy,Utilities,2019,167818.924,37346.94,14756.742,7372,108709,Electric/Gas,"Electricity, Gas","Boston, MA, USA",2040,219922.606
