Name,Loan,Value,ZIP Code,LTV 2020,LTV 2025,LTV 2030,LTV 2035,LTV 2040,LTV 2045,LTV 2050,PTI,Credit History,Borrower,PD,latitude,longitude,flood_risk
Grace School,829,152700,60623,0.005428946,0.004886051,0.003908841,0.004343157,0.00304021,0.002736189,0.002188951,0.2131,Negative,Corporate,1,41.8499791,-87.71813911,9.6
Saint Adrian School,993,133800,60629,0.007421525,0.006679372,0.005343498,0.00593722,0.004156054,0.003740448,0.002992359,0.1424,Positive,Corporate,1,41.78121764,-87.71207746,10
Saint Daniel School,1495,244000,60638,0.006127049,0.005514344,0.004411475,0.004901639,0.003431148,0.003088033,0.002470426,0.1121,Was Negative,Corporate,1,41.78777568,-87.77063212,10
Shepard School,743,277300,60612,0.002679409,0.002411468,0.001929174,0.002143527,0.001500469,0.001350422,0.001080338,0.1893,Positive,Corporate,0,41.87909502,-87.68618156,9.4
Saint Nicholas School,1084,81600,60628,0.013284314,0.011955882,0.009564706,0.010627451,0.007439216,0.006695294,0.005356235,0.1404,Negative,Corporate,1,41.69102735,-87.62215075,9.9
Saint Ladislaus School,1038,277300,60634,0.003743238,0.003368915,0.002695132,0.002994591,0.002096213,0.001886592,0.001509274,0.1082,Was Negative,Corporate,0,41.94465937,-87.80393149,9.6
Thomas School,1747,736700,60614,0.002371386,0.002134247,0.001707398,0.001897109,0.001327976,0.001195178,0.000956143,0.1062,Positive,Corporate,0,41.92238588,-87.6515846,9.3
Timothy Lutheran School,864,151500,60620,0.00570297,0.005132673,0.004106139,0.004562376,0.003193663,0.002874297,0.002299438,0.1216,Negative,Corporate,1,41.74188845,-87.65067732,9.6
Ashburn Lutheran School,1360,152100,60652,0.008941486,0.008047337,0.00643787,0.007153189,0.005007232,0.004506509,0.003605207,0.2172,Was Negative,Corporate,1,41.74469669,-87.71294402,10
Brisk Rabbinical College,1134,314400,60645,0.00360687,0.003246183,0.002596947,0.002885496,0.002019847,0.001817863,0.00145429,0.1285,Positive,Corporate,0,42.00935181,-87.69700431,8.9
Walter H. Dyett High School,738,225000,60609,0.00328,0.002952,0.0023616,0.002624,0.0018368,0.00165312,0.001322496,0.1247,Positive,Corporate,0,41.81356529,-87.64603401,9.2
Pros Arts Studio,1083,287000,60608,0.003773519,0.003396167,0.002716934,0.003018815,0.002113171,0.001901854,0.001521483,0.1372,Negative,Corporate,0,41.85043634,-87.66657715,9.3
The Reading House,738,350100,60643,0.002107969,0.001897172,0.001517738,0.001686375,0.001180463,0.001062416,0.000849933,0.106,Was Negative,Corporate,0,41.69289341,-87.66119447,9.9
